No.	View	Mdpt. X (vox)	Mdpt. Y (vox)	Mdpt. Z (vox)	Mean PSF Radius (vox)	St. Dev. (vox)	Incident Angle (deg)	Radial Distance (vox)	Tangent Angle (deg)
01	Ortho Z	453.88	21.09	1566.00	3.23	0.17	5.18	384.58	5.59
02	Ortho Z	425.58	16.55	1566.00	3.23	0.20	6.27	385.70	2.71
03	Ortho Z	408.57	14.98	1566.00	3.36	0.22	4.24	386.37	0.18
04	Ortho Z	340.95	17.17	1566.00	3.43	0.29	1.70	387.69	2.04
05	Ortho Z	229.05	50.10	1566.00	3.99	0.61	11.73	387.94	1.32
06	Ortho Z	244.13	43.47	1566.00	4.09	0.43	5.45	387.79	1.56
07	Ortho Z	283.81	30.25	1566.00	3.55	0.73	9.23	386.81	0.31
08	Ortho Z	317.78	21.57	1566.00	3.20	0.42	13.59	387.21	0.34
09	Ortho Z	359.37	15.69	1566.00	3.35	0.42	5.60	386.89	3.01
10	Ortho Z	461.77	21.82	1566.00	3.72	0.20	7.96	385.02	2.74
11	Ortho Z	396.00	14.73	1566.00	3.17	0.17	0.91	386.26	0.22

