No.	View	Mdpt. X (vox)	Mdpt. Y (vox)	Mdpt. Z (vox)	Mean PSF Radius (vox)	St. Dev. (vox)	Incident Angle (deg)	Radial Distance (vox)	Tangent Angle (deg)
01	Ortho Z	190.31	76.60	955.00	3.27	0.27	12.86	383.52	4.99
02	Ortho Z	288.46	33.67	955.00	3.15	0.58	7.05	382.24	0.21
03	Ortho Z	426.81	21.50	955.00	3.48	0.27	11.64	380.82	5.06
04	Ortho Z	567.55	61.87	955.00	2.54	0.59	3.69	380.63	2.44
05	Ortho Z	195.26	78.52	649.00	3.17	0.26	9.67	378.99	5.48
06	Ortho Z	279.55	40.55	649.00	2.90	1.18	5.42	378.22	1.37
07	Ortho Z	315.45	31.06	649.00	3.54	0.34	11.40	378.21	1.44
08	Ortho Z	564.83	64.37	649.00	2.96	0.34	5.49	377.14	2.64
09	Ortho Z	567.26	61.62	1031.00	4.90	1.12	12.43	380.70	2.50
10	Ortho Z	311.74	26.61	1031.00	3.16	0.51	5.01	383.44	1.85
11	Ortho Z	247.80	46.41	1031.00	3.15	0.38	9.33	383.82	6.16
12	Ortho Z	192.16	74.44	1031.00	2.60	1.10	4.54	384.35	5.40
13	Ortho Z	250.11	751.06	305.00	3.37	0.61	1.98	378.90	0.07
14	Ortho Z	295.28	766.19	305.00	3.98	0.41	7.94	378.28	1.66
15	Ortho Z	470.20	771.54	305.00	3.06	0.49	10.84	378.43	4.96
16	Ortho Z	512.81	760.58	305.00	3.70	0.46	7.24	378.70	5.75
17	Ortho Z	602.08	717.78	305.00	3.14	0.64	7.03	378.61	1.05
18	Ortho Z	601.30	720.71	76.00	4.01	0.41	14.23	380.54	1.39
19	Ortho Z	512.41	763.16	76.00	2.77	0.32	12.82	380.77	5.93
20	Ortho Z	468.36	774.35	76.00	3.68	0.43	12.08	380.63	5.31
21	Ortho Z	293.51	767.82	76.00	3.57	0.48	17.26	380.24	1.47
22	Ortho Z	245.24	751.33	76.00	3.86	0.32	10.67	380.77	0.60
23	Ortho Z	598.84	706.97	1795.00	3.65	0.67	12.34	367.98	3.99
24	Ortho Z	679.00	636.15	1795.00	3.49	0.86	2.98	369.22	9.24
25	Ortho Z	736.43	546.39	1795.00	3.89	0.72	9.05	371.55	6.11
26	Ortho Z	207.71	721.36	1795.00	2.89	0.92	4.58	370.84	4.58
27	Ortho Z	227.59	730.53	1871.00	3.52	0.36	20.31	369.31	7.96
28	Ortho Z	258.03	743.07	1871.00	3.43	1.17	15.50	368.21	1.89
29	Ortho Z	560.01	728.60	1871.00	2.82	1.14	6.65	367.08	5.55
30	Ortho Z	506.24	749.82	1871.00	3.38	0.32	3.64	366.10	6.76
31	Ortho Z	682.66	632.13	1871.13	4.06	1.01	12.38	369.54	1.49
32	Ortho Z	730.23	559.49	1871.00	3.17	0.70	4.60	371.44	3.47

