Name	Merit	View	Midpoint X (vox)	Midpoint Y (vox)	Midpoint Z (vox)	Apparent Width (vox)	Apparent Width (mm)	Incident Angle (deg)	Corrected Width (vox)	Corrected Width (mm)	Tile Mean App. Width (vox)	Tile SD App. Width (vox)	Tile Mean Corr. Width (vox)	Tile Mean Corr. Width (mm)	Feature Normal X	Feature Normal Y	Feature Normal Z 
Trav0	  0.000928982	Ortho Z	      418.300	      415.000	      1184.00	      3.85679	     0.128431	      14.3535	      3.73640	     0.124422	      3.97077	     0.224579	      3.84683	     0.128099	     0.968785	     0.156727	    -0.192075 
Trace1	   0.00100053	Ortho Z	      416.603	      414.725	      1184.00	      3.96855	     0.132153	      13.0687	      3.86576	     0.128730	      4.09910	     0.214679	      3.99293	     0.132964	     0.960908	     0.159824	    -0.226079 
Trace1	   0.00713066	Ortho Z	      417.368	      413.800	      1184.00	      3.97057	     0.132220	      11.0005	      3.89762	     0.129791	      4.00902	     0.153418	      3.93536	     0.131047	     0.976205	     0.103245	    -0.190695 
Trace1	   0.00631139	Ortho Z	      417.137	      412.767	      1184.00	      3.94711	     0.131439	      6.22588	      3.92383	     0.130664	      4.00022	     0.120749	      3.97663	     0.132422	     0.988462	     0.105980	    -0.108222 
Trace1	   0.00600910	Ortho Z	      417.057	      411.728	      1184.00	      4.11657	     0.137082	      3.75189	      4.10774	     0.136788	      4.09468	     0.146443	      4.08590	     0.136061	     0.986731	     0.149259	   -0.0638997 
Trace1	    0.0216561	Ortho Z	      417.701	      410.807	      1184.00	      4.03561	     0.134386	      7.89950	      3.99732	     0.133111	      4.04295	     0.156592	      4.00459	     0.133353	     0.977778	     0.158328	    -0.137411 
Trace1	    0.0592669	Ortho Z	      417.003	      409.684	      1184.00	      4.01063	     0.133554	      5.66915	      3.99102	     0.132901	      4.11119	     0.251281	      4.09109	     0.136233	     0.981895	     0.162811	   -0.0968224 
Trace1	     0.153772	Ortho Z	      417.412	      408.722	      1184.00	      3.65628	     0.121754	      13.1121	      3.56095	     0.118580	      3.96280	     0.283975	      3.85948	     0.128521	     0.935778	     0.332481	     0.117373 
Trace1	    0.0117921	Ortho Z	      416.984	      415.808	      1184.00	      4.23252	     0.140943	      11.0397	      4.15420	     0.138335	      4.25307	     0.208894	      4.17437	     0.139006	     0.972147	     0.139528	    -0.188313 
Trace1	    0.0219811	Ortho Z	      416.387	      416.698	      1184.00	      3.58252	     0.119298	      8.29285	      3.54506	     0.118050	      3.86327	     0.313830	      3.82288	     0.127302	     0.896273	     0.426106	    -0.122994 
Trace1	   0.00639762	Ortho Z	      416.314	      417.796	      1184.00	      3.90495	     0.130035	      7.15207	      3.87456	     0.129023	      4.08122	     0.212230	      4.04946	     0.134847	     0.932373	     0.360689	   -0.0241811 
Trace1	   0.00835290	Ortho Z	      416.649	      418.871	      1184.00	      4.03119	     0.134239	      9.90141	      3.97115	     0.132239	      4.08488	    0.0851666	      4.02404	     0.134000	     0.994856	    0.0371823	    0.0942240 
Trace1	   0.00268522	Ortho Z	      415.747	      419.897	      1184.00	      4.03137	     0.134245	      10.0657	      3.96932	     0.132178	      4.07463	     0.147366	      4.01191	     0.133597	     0.983969	   -0.0354760	     0.174775 
Trace1	   0.00637065	Ortho Z	      415.959	      420.887	      1184.00	      4.00566	     0.133388	      8.93167	      3.95708	     0.131771	      4.07301	    0.0902568	      4.02362	     0.133986	     0.987437	   -0.0295925	     0.155216 
Trace1	    0.0112573	Ortho Z	      416.633	      421.891	      1184.00	      3.98758	     0.132787	      3.62344	      3.97961	     0.132521	      3.96728	    0.0841567	      3.95935	     0.131846	     0.997988	   0.00516419	    0.0631991 
Trace1	   0.00382709	Ortho Z	      415.703	      422.833	      1184.00	      4.06710	     0.135434	      2.64274	      4.06278	     0.135290	      4.13639	    0.0811393	      4.13199	     0.137595	     0.996654	    0.0684521	   -0.0446583 
