No.	View	Mdpt. X (vox)	Mdpt. Y (vox)	Mdpt. Z (vox)	Mean PSF Radius (vox)	St. Dev. (vox)	Incident Angle (deg)	Radial Distance (vox)	Tangent Angle (deg)
01	Ortho Z	340.03	17.40	1465.00	3.56	0.14	6.76	387.45	5.49
02	Ortho Z	374.00	14.78	1465.00	3.23	0.28	11.78	386.88	3.04
03	Ortho Z	321.04	27.18	892.00	3.73	0.32	5.06	380.87	0.19
04	Ortho Z	555.08	57.01	892.00	3.21	0.55	11.75	379.83	3.58
05	Ortho Z	265.18	755.69	366.00	3.83	0.11	9.24	377.50	4.59
06	Ortho Z	300.39	766.68	366.00	3.18	0.34	9.03	377.66	3.65
07	Ortho Z	238.06	747.88	78.00	3.79	0.17	1.73	380.57	2.29
08	Ortho Z	177.64	712.66	78.00	4.42	0.72	17.22	379.37	1.64
09	Ortho Z	533.72	755.43	78.00	2.85	0.43	10.88	380.80	5.12
10	Ortho Z	680.99	650.92	78.00	2.80	1.24	7.15	380.02	8.37
11	Ortho Z	713.89	606.44	78.00	4.03	0.37	14.38	379.83	3.39
12	Ortho Z	216.91	60.36	1033.00	3.07	0.72	10.57	384.12	5.43
13	Ortho Z	288.87	32.25	1033.00	3.37	0.35	5.94	383.60	6.52
14	Ortho Z	434.82	21.36	1033.00	3.40	0.16	6.77	381.77	3.95
15	Ortho Z	446.81	18.46	1709.00	2.92	0.85	17.34	385.99	8.61
16	Ortho Z	750.10	271.11	1709.00	3.91	0.39	5.00	378.59	7.34
17	Ortho Z	757.45	295.20	1709.00	3.84	0.53	0.52	378.09	1.51
18	Ortho Z	239.33	735.81	1858.00	3.81	0.32	4.42	368.88	0.78
19	Ortho Z	398.05	764.83	1858.00	2.95	0.33	12.26	363.89	2.81
20	Ortho Z	609.08	699.62	1858.00	3.68	0.34	11.51	367.79	2.01

